date_seen,store,label,bale_weight_lbs,
8/14/18,176,297,983,
8/14/18,177,241,993,
8/14/18,178,384,903,
8/14/18,178,385,910,
8/14/18,178,386,872,
8/14/18,179,145,760,
8/14/18,44,286,1068,
8/14/18,44,287,906,
8/14/18,183,484,920,
8/14/18,183,485,658,
8/14/18,184,199,1009,
8/14/18,185,210,949,
8/14/18,45,437,973,
8/14/18,186,337,1014,
8/14/18,189,92,737,
8/14/18,189,104,999,
8/14/18,189,105,822,
8/14/18,189,106,1063,
8/14/18,189,107,1002,
8/14/18,189,108,1014,
8/14/18,189,109,975,
8/14/18,46,108,903,
8/14/18,46,109,685,
8/14/18,46,110,786,
8/14/18,46,111,773,
8/14/18,50,208,1038,
8/14/18,51,188,1025,
8/14/18,51,189,1077,
8/14/18,51,190,1059,
8/14/18,51,191,1124,
8/14/18,8,76,1107,
8/14/18,54,456,1054,
8/14/18,212,358,1089,
8/14/18,55,77,672,
8/14/18,55,78,941,
8/14/18,56,379,946,
8/14/18,56,380,975,
8/14/18,56,381,955,
8/14/18,56,382,993,
8/14/18,56,383,910,
8/14/18,56,385,563,
8/14/18,58,22,907,
8/14/18,58,23,863,
8/14/18,58,24,915,
8/14/18,58,25,837,
8/14/18,58,26,876,
8/14/18,58,27,876,
8/14/18,57,181,1049,
8/14/18,59,332,675,
8/14/18,59,333,874,
8/14/18,59,334,1009,
8/14/18,59,335,923,
8/14/18,59,336,960,
8/14/18,59,337,882,
8/15/18,1,221,942,
8/15/18,1,222,973,
8/15/18,9,99,225,
8/15/18,9,100,1087,
8/15/18,13,480,754,
8/15/18,13,481,848,
8/15/18,13,494,992,
8/15/18,13,495,1006,
8/15/18,13,496,737,
8/15/18,15,282,974,
8/15/18,15,283,974,
8/15/18,17,412,949,
8/15/18,190,287,1057,
8/15/18,190,288,929,
8/15/18,190,289,1061,
8/15/18,190,290,1094,
8/15/18,191,44,749,
8/15/18,191,45,791,
8/15/18,191,46,933,
8/15/18,191,47,853,
8/15/18,191,48,923,
8/15/18,191,49,906,
8/15/18,191,50,876,
8/15/18,191,51,767,
8/15/18,191,52,934,
8/15/18,191,53,775,
8/15/18,194,284,578,
8/15/18,194,285,257,
8/15/18,195,193,960,
8/15/18,196,140,1111,
8/15/18,196,141,1046,
8/15/18,196,142,1115,
8/15/18,196,143,1120,
8/15/18,196,144,817,
8/15/18,201,69,947,
8/15/18,18,101,920,
8/15/18,18,102,836,
8/15/18,199,215,469,
8/15/18,203,400,997,
8/15/18,205,204,905,
8/15/18,19,27,985,
8/15/18,19,28,789,
8/15/18,2,277,929,
8/15/18,2,278,754,
8/15/18,21,264,853,
8/15/18,21,265,788,
8/15/18,21,266,742,
8/15/18,22,226,978,
8/15/18,26,393,1040,
8/15/18,27,495,1081,
8/15/18,27,496,1395,
8/15/18,27,497,1151,
8/15/18,27,498,1142,
8/15/18,27,499,1165,
8/15/18,3,266,820,
8/15/18,61,340,613,
8/15/18,61,341,1068,
8/15/18,63,181,1095,
8/15/18,63,182,1035,
8/15/18,63,183,1058,
8/15/18,63,188,877,
8/15/18,63,189,736,
8/15/18,63,190,1002,
8/15/18,65,93,1014,
8/15/18,65,94,1009,
8/15/18,65,95,1001,
8/15/18,66,35,1038,
8/15/18,66,36,998,
8/15/18,67,100,1022,
8/15/18,68,296,923,
8/15/18,68,297,1030,
8/15/18,69,459,1158,
8/15/18,67,97,1008,
8/15/18,67,99,987,
8/15/18,71,239,1003,
8/15/18,71,240,1003,
8/15/18,71,A5,1003,
8/15/18,71,A6,1003,
8/15/18,71,A7,1196,
8/15/18,74,421,955,
8/15/18,74,422,919,
8/15/18,74,423,898,
8/15/18,75,220,924,
8/15/18,75,221,837,
8/15/18,76,392,915,
8/15/18,76,393,924,
8/15/18,28,389,975,
8/15/18,28,390,944,
8/15/18,28,391,1131,
8/15/18,77,303,742,
8/15/18,29,291,1102,
8/15/18,29,292,1138,
8/15/18,29,293,1158,
8/15/18,29,294,1109,
8/15/18,29,295,959,
8/15/18,81,257,1128,
8/15/18,83,441,1022,
8/15/18,30,230,1053,
8/15/18,86,444,966,
8/15/18,86,445,949,
8/15/18,87,265,999,
8/15/18,87,266,929,
8/15/18,88,245,775,
8/15/18,88,246,814,
8/15/18,89,473,1076,
8/15/18,89,474,905,
8/15/18,89,475,903,
8/15/18,90,30,1071,
8/15/18,90,31,1059,
8/15/18,90,32,1178,
8/15/18,91,454,1145,
8/15/18,91,455,999,
8/15/18,92,94,1025,
8/15/18,81,256,926,
8/15/18,95,263,1069,
